id,salutation,first_name,last_name,company,title,department,contact_specialty,location,street,city,state,zip_code,country,phone,fax,email,new_to_ultrasound,previous_ultrasound,current_sonosite,buying_timeframe,product,rating,marketing_comments
1,henriette,nellie,zelda,junior.runolfon,melody,kory,scotty.hilll,irving_cummerata,raegan.dooley,junius,juliet,maryam.wintheiser,kylie.okon,kevon,marcos,chloe@yostbauch.biz,true,f,true,francis.kutch,ervin.metz,medium,quentin_leuschke
2,catalina,dane.stehr,evans.goodwin,dorris_schaefer,lacy_connelly,brice,christiana,christiana_altenwerth,graham_aufderhar,jacey_price,giovanni,christine,kaandra,sheldon,shania,sarai_carter@deckowcarroll.info,true,f,true,randi,jeica,medium,adele.harber
3,noah,macy_fay,tara_klocko,golden,rocky,rico.hansen,deborah.harvey,rodolfo_rogahn,jadon_aufderhar,pat_beatty,may_harris,lelah,torrance.osinski,sydni.langosh,americo_bartoletti,clark@bechtelar.com,true,f,true,alan,garry_herzog,medium,quinten.metz
4,gerson,gunner_schowalter,jerad,amely,alvera,anastacio,lera,humberto_cummerata,avis_abernathy,mariam.nader,rebeca,jarret,brant_pfannerstill,mathilde,zechariah_satterfield,tabitha@beier.biz,true,f,true,rusty_hirthe,krista_ratke,medium,ward
5,velma.ward,tyson.tromp,domenick.lakin,vivian,shakira_casper,carlotta,addie,jeanie_harris,nash_nienow,katelin,joel.hyatt,sandy,helmer,natalie.dicki,jarrell.runolfon,margot@hermiston.net,true,f,true,shaina,gerardo_casper,medium,susanna
6,otis.fritsch,cleveland,jovan_murphy,pietro.lowe,beth.runolfsdottir,louisa_okuneva,thalia.monahan,roslyn,hilbert_harvey,ferne,sid,jacynthe,johnson,leslie_gleason,judson,genoveva.mckenzie@langworth.info,true,f,true,heloise_rau,otilia_bayer,medium,allen
7,jaqueline,dan_ledner,tania,bernhard_rolfson,geovanny_mayer,elliot,dannie,lee,ernest.beier,emmanuelle.bergnaum,rhea.konopelski,maiya,marvin_cremin,felipa,etha_gerhold,nicola.schiller@schmidt.name,true,f,true,shayne,madelyn.runte,medium,alfredo
8,erich,eladio,kiarra,hudson_stracke,ricardo_sipes,leslie,myriam_swaniawski,monserrate,lizzie,robin,cathrine,estel,jackson.williamson,dell,carmine.cartwright,fredrick.gerlach@schamberger.biz,true,f,true,paige,winifred,medium,margarete_volkman
9,ashlynn,santiago,emma,carlie,delaney_cummerata,theodore,rhett,gerardo,bernard,karelle_hilpert,neal,lew_armstrong,maximus,jalon.keebler,andre_heel,ashlynn.connelly@vonrueden.biz,true,f,true,lucienne,milton.padberg,medium,elizabeth.adams
10,fermin_feest,leonor.rau,dylan.wyman,matt,jean,maximilian.veum,austin,tabitha,kieran,karson_roob,makenzie,bryana_bashirian,demetris,jolie,einar_doyle,jettie.metz@dickinson.com,true,f,true,kristy,zelma.olson,medium,myrtle.schumm
11,aisha.parker,melany.schuppe,juwan_koepp,eunice,leila.doyle,john,jaiden,rocio_quigley,lamont,carmel,maudie,ursula_stracke,loren,raleigh,floy,randi@prohaska.biz,true,f,true,ona.satterfield,adolphus_spinka,medium,jason
12,thad.stiedemann,cleveland,kelly,queen,hellen_klocko,arielle.friesen,arden.boyle,verdie.mcclure,rebecca,yasmeen.walter,kelly_macgyver,tillman,tad,garett,kiera.lakin,mozelle.hilll@dibbert.name,true,f,true,efrain,samanta_luettgen,medium,reymundo_bednar
13,mayra,norberto,chanel_ebert,deja_pouros,trea,laurie,hal,jailyn.kozey,marcia_ko,adrien.kreiger,martin.armstrong,clifton,dorthy,una,adah,noel_moore@hettinger.info,true,f,true,halle,agustin,medium,josephine
